continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,iso3,capital,name,description,main.temp_max,main.temp_min
Europe,Italy,2024-08-07,26781078.0,6350.0,907.143,197307.0,6.0,0.857,449202.94,ITA,rome,rome,broken clouds,293.57,290.68
North America,Jamaica,2024-08-04,157181.0,12.0,1.714,3611.0,0.0,0.0,55361.973,JAM,kingston,kingston,clear sky,303.8,303.8
Asia,Japan,2024-08-04,33803572.0,0.0,0.0,74694.0,0.0,0.0,270433.8,JPN,tokyo,tokyo,scattered clouds,279.63,276.81
Europe,Jersey,2024-08-04,66391.0,0.0,0.0,161.0,0.0,0.0,641502.3,JEY,saint helier,saint helier,clear sky,287.58,287.58
Asia,Jordan,2024-08-04,1746997.0,0.0,0.0,14122.0,0.0,0.0,155202.16,JOR,amman,amman,dust,288.9,287.2
Africa,Kenya,2024-08-04,344106.0,0.0,0.0,5689.0,0.0,0.0,6342.68,KEN,nairobi,nairobi,light rain,292.98,292.98
Oceania,Kiribati,2024-08-04,5085.0,0.0,0.0,24.0,0.0,0.0,38971.19,KIR,tarawa,tarawa,broken clouds,300.2,300.2
Asia,Kuwait,2024-08-04,667290.0,0.0,0.0,2570.0,0.0,0.0,145394.48,KWT,kuwait city,kuwait city,clear sky,294.74,294.14
Asia,Kyrgyzstan,2024-08-04,88953.0,0.0,0.0,1024.0,0.0,0.0,12788.335,KGZ,bishkek,bishkek,clear sky,284.26,284.26
Asia,Laos,2024-08-04,219060.0,0.0,0.0,671.0,0.0,0.0,28979.996,LAO,vientiane,vientiane,broken clouds,298.11,296.99
Asia,Lebanon,2024-08-04,1239904.0,0.0,0.0,10947.0,0.0,0.0,215842.16,LBN,beirut,beirut,broken clouds,288.36,286.56
Africa,Lesotho,2024-08-04,36138.0,0.0,0.0,709.0,0.0,0.0,15807.624,LSO,maseru,maseru,broken clouds,293.97,293.97
Africa,Liberia,2024-08-04,7930.0,0.0,0.0,294.0,0.0,0.0,1475.817,LBR,monrovia,monrovia,overcast clouds,301.89,301.89
Europe,Liechtenstein,2024-08-04,21588.0,0.0,0.0,89.0,0.0,0.0,548810.25,LIE,vaduz,vaduz,clear sky,287.54,285.71
